cycle_time_utc,valid_time_utc,forecast_hour,utc_token,wdr_code,wind_dir_deg,wsp_kt,gst_kt
2026-04-27T12:00:00Z,2026-04-27T13:00:00Z,1,13,15,150,9,11
2026-04-27T12:00:00Z,2026-04-27T14:00:00Z,2,14,15,150,10,12
2026-04-27T12:00:00Z,2026-04-27T15:00:00Z,3,15,15,150,10,13
2026-04-27T12:00:00Z,2026-04-27T16:00:00Z,4,16,15,150,11,15
2026-04-27T12:00:00Z,2026-04-27T17:00:00Z,5,17,15,150,12,17
2026-04-27T12:00:00Z,2026-04-27T18:00:00Z,6,18,15,150,13,18
2026-04-27T12:00:00Z,2026-04-27T19:00:00Z,7,19,16,160,13,18
2026-04-27T12:00:00Z,2026-04-27T20:00:00Z,8,20,16,160,14,19
2026-04-27T12:00:00Z,2026-04-27T21:00:00Z,9,21,16,160,14,19
2026-04-27T12:00:00Z,2026-04-27T22:00:00Z,10,22,16,160,14,18
2026-04-27T12:00:00Z,2026-04-27T23:00:00Z,11,23,16,160,13,17
2026-04-27T12:00:00Z,2026-04-28T00:00:00Z,12,00,16,160,13,16
2026-04-27T12:00:00Z,2026-04-28T01:00:00Z,13,01,16,160,12,15
2026-04-27T12:00:00Z,2026-04-28T02:00:00Z,14,02,16,160,11,14
2026-04-27T12:00:00Z,2026-04-28T03:00:00Z,15,03,16,160,11,13
2026-04-27T12:00:00Z,2026-04-28T04:00:00Z,16,04,16,160,10,13
2026-04-27T12:00:00Z,2026-04-28T05:00:00Z,17,05,16,160,10,12
2026-04-27T12:00:00Z,2026-04-28T06:00:00Z,18,06,17,170,10,12
2026-04-27T12:00:00Z,2026-04-28T07:00:00Z,19,07,17,170,9,11
2026-04-27T12:00:00Z,2026-04-28T08:00:00Z,20,08,17,170,9,10
2026-04-27T12:00:00Z,2026-04-28T09:00:00Z,21,09,17,170,8,10
2026-04-27T12:00:00Z,2026-04-28T10:00:00Z,22,10,17,170,8,9
2026-04-27T12:00:00Z,2026-04-28T11:00:00Z,23,11,16,160,7,9
2026-04-27T12:00:00Z,2026-04-28T12:00:00Z,24,12,16,160,7,8
2026-04-27T12:00:00Z,2026-04-28T13:00:00Z,25,13,16,160,7,9
